	ordinal	filename	word	IPA	tokenised	qichwa	english	spanish
56	57	ar.csv	كغسق	/kaɣasaq/	['k', 'a', 'ɣ', 'a', 's', 'a', 'q']	kakasaq	dusk	oscuridad
57	58	ar.csv	كغلس	/kaɣalas/	['k', 'a', 'ɣ', 'a', 'l', 'a', 's']	kakalas	Kglas	kgglas
58	59	ar.csv	كغلم	/kaɣalim/	['k', 'a', 'ɣ', 'a', 'l', 'i', 'm']	kakalim	Kglam	Kglam
59	60	ar.csv	كغمش	/kaɣamaʃ/	['k', 'a', 'ɣ', 'a', 'm', 'a', 'ʃ']	kakamash	Kgmash	Kgmash
60	61	ar.csv	كقسس	/kaqusus/	['k', 'a', 'q', 'u', 's', 'u', 's']	kaqusus	as pastors	como pastores
61	62	ar.csv	كقلل	/kaqulal/	['k', 'a', 'q', 'u', 'l', 'a', 'l']	kaqulal	as less	como menos
62	63	ar.csv	كقلم	/kaqalam/	['k', 'a', 'q', 'a', 'l', 'a', 'm']	kaqalam	like a pen	como un bolígrafo
63	64	ar.csv	كقمم	/kaqimam/	['k', 'a', 'q', 'i', 'm', 'a', 'm']	kaqimam	as tops	como tapas
64	65	ar.csv	كقمن	/kaqamin/	['k', 'a', 'q', 'a', 'm', 'i', 'n']	kaqamin	as a priest	como sacerdote
65	66	ar.csv	كقنم	/kaqanam/	['k', 'a', 'q', 'a', 'n', 'a', 'm']	kaqanam	as a sheep	como una oveja
66	67	ar.csv	كقنن	/kaqunan/	['k', 'a', 'q', 'u', 'n', 'a', 'n']	kaqunan	as a codified	como un codificado
67	68	ar.csv	ككتن	/kakatan/	['k', 'a', 'k', 'a', 't', 'a', 'n']	kakatan	cctn	cctn
68	69	ar.csv	ككثث	/kakaθaθ/	['k', 'a', 'k', 'a', 'θ', 'a', 'θ']	kakathath	as much	como mucho
69	70	ar.csv	ككمش	/kakamiʃ/	['k', 'a', 'k', 'a', 'm', 'i', 'ʃ']	kakamish	shrink	encoger
70	71	ar.csv	كلقس	/kalaqis/	['k', 'a', 'l', 'a', 'q', 'i', 's']	kalaqis	as a priest	como sacerdote
71	72	ar.csv	كلقم	/kaluqam/	['k', 'a', 'l', 'u', 'q', 'a', 'm']	kaluqam	as a mouthful	como un bocado
72	73	ar.csv	كمهق	/kamahaq/	['k', 'a', 'm', 'a', 'h', 'a', 'q']	kamahaq	albinism	albinismo
73	74	ar.csv	كنسم	/kanasam/	['k', 'a', 'n', 'a', 's', 'a', 'm']	kanasam	As a breeze	como una brisa
74	75	ar.csv	كنقم	/kaniqam/	['k', 'a', 'n', 'i', 'q', 'a', 'm']	kaniqam	as a curse	como una maldición
75	76	ar.csv	كهلل	/kahalal/	['k', 'a', 'h', 'a', 'l', 'a', 'l']	kahalal	crimson	carmesí
76	77	ar.csv	كهمم	/kahimam/	['k', 'a', 'h', 'i', 'm', 'a', 'm']	kahimam	Hmmm	Mmm
77	78	ar.csv	كهنم	/kahanam/	['k', 'a', 'h', 'a', 'n', 'a', 'm']	kahanam	as a priest	como sacerdote
78	79	ar.csv	ل	/li/	['l', 'i']	li	to	a
79	80	ar.csv	لتثق	/litaθiq/	['l', 'i', 't', 'a', 'θ', 'i', 'q']	litathiq	to trust	confiar
80	81	ar.csv	لتسس	/litasus/	['l', 'i', 't', 'a', 's', 'u', 's']	litasus	toss	sacudida
81	82	ar.csv	لتق	/litaq/	['l', 'i', 't', 'a', 'q']	litaq	meet	encontrarse
82	83	ar.csv	لتقق	/litaquq/	['l', 'i', 't', 'a', 'q', 'u', 'q']	litaquq	check	controlar
83	84	ar.csv	لتلث	/litaluθ/	['l', 'i', 't', 'a', 'l', 'u', 'θ']	litaluth	to pollute	a contaminar
84	85	ar.csv	لتمق	/litamiq/	['l', 'i', 't', 'a', 'm', 'i', 'q']	litamiq	stay tuned	Manténganse al tanto
85	86	ar.csv	لخلس	/laxalasa/	['l', 'a', 'x', 'a', 'l', 'a', 's', 'a']	lakalasa	to steal	robar
86	87	ar.csv	لسمق	/lasamaqa/	['l', 'a', 's', 'a', 'm', 'a', 'q', 'a']	lasamaqa	to sumac	al zumaque
87	88	ar.csv	لشمخ	/laʃamaxa/	['l', 'a', 'ʃ', 'a', 'm', 'a', 'x', 'a']	lashamaka	to smell	oler
88	89	ar.csv	لشهق	/laʃahaqa/	['l', 'a', 'ʃ', 'a', 'h', 'a', 'q', 'a']	lashahaqa	gasp	jadear
89	90	ar.csv	لغمق	/laɣamiqa/	['l', 'a', 'ɣ', 'a', 'm', 'i', 'q', 'a']	lakamiqa	to darken	oscurecer
90	91	ar.csv	لقمس	/laqamasa/	['l', 'a', 'q', 'a', 'm', 'a', 's', 'a']	laqamasa	lokmos	lokmos
91	92	ar.csv	لكمخ	/lakamaxa/	['l', 'a', 'k', 'a', 'm', 'a', 'x', 'a']	lakamaka	punch	puñetazo
92	93	ar.csv	للهق	/lalahiqa/	['l', 'a', 'l', 'a', 'h', 'i', 'q', 'a']	lalahiqa	to catch up	ponerse al día
93	94	ar.csv	لملخ	/lamalaxa/	['l', 'a', 'm', 'a', 'l', 'a', 'x', 'a']	lamalaka	Lamlakh	Lamlj
94	95	ar.csv	لمهك	/lamahaka/	['l', 'a', 'm', 'a', 'h', 'a', 'k', 'a']	lamahaka	lmhk	lmhk
95	96	ar.csv	لن	/lan/	['l', 'a', 'n']	lan	won&#39;t	no
96	97	ar.csv	لنثق	/linaθiq/	['l', 'i', 'n', 'a', 'θ', 'i', 'q']	linathiq	Let&#39;s trust	confiemos
97	98	ar.csv	لنل	/linal/	['l', 'i', 'n', 'a', 'l']	linal	To get	Llegar
98	99	ar.csv	لنلس	/linalis/	['l', 'i', 'n', 'a', 'l', 'i', 's']	linalis	lenless	sin lentes
99	100	ar.csv	لنهق	/lanahaqa/	['l', 'a', 'n', 'a', 'h', 'a', 'q', 'a']	lanahaqa	to bray	rebuznar
100	101	ar.csv	له	/lahu/	['l', 'a', 'h', 'u']	lahu	for him	para él
101	102	ar.csv	لهق	/lahiqa/	['l', 'a', 'h', 'i', 'q', 'a']	lahiqa	lick	lamer
102	103	ar.csv	ملخ	/malaxa/	['m', 'a', 'l', 'a', 'x', 'a']	malaka	Mlkh	Mlkh
103	104	ar.csv	مهق	/mahaq/	['m', 'a', 'h', 'a', 'q']	mahaq	albino	albino
104	105	ar.csv	مهك	/mahaka/	['m', 'a', 'h', 'a', 'k', 'a']	mahaka	Mahk	mahk
105	106	ar.csv	نثق	/naθiq/	['n', 'a', 'θ', 'i', 'q']	nathiq	We trust	Confiamos
106	107	ar.csv	نل	/nal/	['n', 'a', 'l']	nal	nl	nl
107	108	ar.csv	نلس	/nalis/	['n', 'a', 'l', 'i', 's']	nalis	Nls	nls
108	109	ar.csv	نهق	/nahaqa/	['n', 'a', 'h', 'a', 'q', 'a']	nahaqa	bray	rebuznar
109	110	ar.csv	همم	/himam/	['h', 'i', 'm', 'a', 'm']	himam	Hmm	Mmm
110	111	ar.csv	هنم	/hanam/	['h', 'a', 'n', 'a', 'm']	hanam	They are	Ellos son
111	112	ar.csv	و	/wa/	['w', 'a']	wa	And	Y
112	113	ar.csv	وتثق	/wataθiq/	['w', 'a', 't', 'a', 'θ', 'i', 'q']	watathiq	And you trust	y tu confías
113	114	ar.csv	وتسس	/watasus/	['w', 'a', 't', 'a', 's', 'u', 's']	watasus	and tss	y tss
114	115	ar.csv	وتق	/wataq/	['w', 'a', 't', 'a', 'q']	wataq	And wait	Y espera
115	116	ar.csv	وتقق	/wataquq/	['w', 'a', 't', 'a', 'q', 'u', 'q']	wataquq	And check	y comprobar
116	117	ar.csv	وتلث	/wataluθ/	['w', 'a', 't', 'a', 'l', 'u', 'θ']	wataluth	pollute	contaminar
117	118	ar.csv	وتمق	/watamiq/	['w', 'a', 't', 'a', 'm', 'i', 'q']	watamiq	And stop	Y pare
118	119	ar.csv	وثلل	/waθulal/	['w', 'a', 'θ', 'u', 'l', 'a', 'l']	wathulal	And cripple	y paralizar
119	120	ar.csv	وخلس	/waxalasa/	['w', 'a', 'x', 'a', 'l', 'a', 's', 'a']	wakalasa	and sneak	y escabullirse
120	121	ar.csv	وخنث	/waxaniθa/	['w', 'a', 'x', 'a', 'n', 'i', 'θ', 'a']	wakanitha	and effeminate	y afeminado
121	122	ar.csv	وستثق	/wasataθiq/	['w', 'a', 's', 'a', 't', 'a', 'θ', 'i', 'q']	wasatathiq	And you will trust	Y confiarás
122	123	ar.csv	وستخ	/wasatax/	['w', 'a', 's', 'a', 't', 'a', 'x']	wasatak	And a stach	y estaca
123	124	ar.csv	وستسس	/wasatasus/	['w', 'a', 's', 'a', 't', 'a', 's', 'u', 's']	wasatasus	Westss	Oeste
124	125	ar.csv	وستق	/wasataq/	['w', 'a', 's', 'a', 't', 'a', 'q']	wasataq	Westaq	Westaq
125	126	ar.csv	وستقق	/wasataquq/	['w', 'a', 's', 'a', 't', 'a', 'q', 'u', 'q']	wasataquq	And you will check	y comprobarás
126	127	ar.csv	وستل	/wasatal/	['w', 'a', 's', 'a', 't', 'a', 'l']	wasatal	and ustl	y ustl
127	128	ar.csv	وستلث	/wasataluθ/	['w', 'a', 's', 'a', 't', 'a', 'l', 'u', 'θ']	wasataluth	Westlth	Oeste
128	129	ar.csv	وستمق	/wasatamiq/	['w', 'a', 's', 'a', 't', 'a', 'm', 'i', 'q']	wasatamiq	And you will abide	Y permanecerás
129	130	ar.csv	وسمق	/wasamaqa/	['w', 'a', 's', 'a', 'm', 'a', 'q', 'a']	wasamaqa	thick	grueso
130	131	ar.csv	وسمل	/wasamala/	['w', 'a', 's', 'a', 'm', 'a', 'l', 'a']	wasamala	Smll	pequeño
131	132	ar.csv	وسنثق	/wasanaθiq/	['w', 'a', 's', 'a', 'n', 'a', 'θ', 'i', 'q']	wasanathiq	And we will trust	Y confiaremos
132	133	ar.csv	وسنق	/wasanaq/	['w', 'a', 's', 'a', 'n', 'a', 'q']	wasanaq	And Seng	y seng
133	134	ar.csv	وسنل	/wasanal/	['w', 'a', 's', 'a', 'n', 'a', 'l']	wasanal	And Snell	y snell
134	135	ar.csv	وسنلس	/wasanalis/	['w', 'a', 's', 'a', 'n', 'a', 'l', 'i', 's']	wasanalis	And Snails	y caracoles
135	136	ar.csv	وسنمق	/wasanamiq/	['w', 'a', 's', 'a', 'n', 'a', 'm', 'i', 'q']	wasanamiq	And we will smack	y daremos una bofetada
136	137	ar.csv	وشمخ	/waʃamaxa/	['w', 'a', 'ʃ', 'a', 'm', 'a', 'x', 'a']	washamaka	And he smelled	y olía
137	138	ar.csv	وشمم	/waʃamam/	['w', 'a', 'ʃ', 'a', 'm', 'a', 'm']	washamam	sniffed	olfateado
138	139	ar.csv	وشهق	/waʃahaqa/	['w', 'a', 'ʃ', 'a', 'h', 'a', 'q', 'a']	washahaqa	And he gasped	y jadeó
139	140	ar.csv	وغلم	/waɣalima/	['w', 'a', 'ɣ', 'a', 'l', 'i', 'm', 'a']	wakalima	And glam	y chico
140	141	ar.csv	وغمش	/waɣamiʃa/	['w', 'a', 'ɣ', 'a', 'm', 'i', 'ʃ', 'a']	wakamisha	And blink	y parpadear
141	142	ar.csv	وغمق	/waɣamiqa/	['w', 'a', 'ɣ', 'a', 'm', 'i', 'q', 'a']	wakamiqa	and darkening	y oscureciendo
142	143	ar.csv	وقسس	/waqusus/	['w', 'a', 'q', 'u', 's', 'u', 's']	waqusus	And priests	y sacerdotes
143	144	ar.csv	وقمس	/waqamasa/	['w', 'a', 'q', 'a', 'm', 'a', 's', 'a']	waqamasa	And a hemisphere	y un hemisferio
144	145	ar.csv	وقمم	/waqimam/	['w', 'a', 'q', 'i', 'm', 'a', 'm']	waqimam	and tops	y tapas
145	146	ar.csv	وقنم	/waqanima/	['w', 'a', 'q', 'a', 'n', 'i', 'm', 'a']	waqanima	And a stink	y un gnomo
146	147	ar.csv	وكتكك	/wakatikak/	['w', 'a', 'k', 'a', 't', 'i', 'k', 'a', 'k']	wakatikak	and chick	y pollito
147	148	ar.csv	وكتلم	/wakatalam/	['w', 'a', 'k', 'a', 't', 'a', 'l', 'a', 'm']	wakatalam	And talk	Y hablar
148	149	ar.csv	وكتنس	/wakatinis/	['w', 'a', 'k', 'a', 't', 'i', 'n', 'i', 's']	wakatinis	And sweeping	y barriendo
149	150	ar.csv	وكثث	/wakaθaθ/	['w', 'a', 'k', 'a', 'θ', 'a', 'θ']	wakathath	And he stayed	y se quedó
150	151	ar.csv	وكثخن	/wakaθixan/	['w', 'a', 'k', 'a', 'θ', 'i', 'x', 'a', 'n']	wakathikan	and thicken	y espesar
151	152	ar.csv	وكثلل	/wakaθulal/	['w', 'a', 'k', 'a', 'θ', 'u', 'l', 'a', 'l']	wakathulal	And lumpy	y grumoso
152	153	ar.csv	وكثنن	/wakaθunan/	['w', 'a', 'k', 'a', 'θ', 'u', 'n', 'a', 'n']	wakathunan	And two	Y dos
153	154	ar.csv	وكخلل	/wakaxalal/	['w', 'a', 'k', 'a', 'x', 'a', 'l', 'a', 'l']	wakakalal	And as a glitch	Y como un error
154	155	ar.csv	وكخنث	/wakaxaniθ/	['w', 'a', 'k', 'a', 'x', 'a', 'n', 'i', 'θ']	wakakanith	and effeminacy	y afeminamiento
155	156	ar.csv	وكخنس	/wakaxunus/	['w', 'a', 'k', 'a', 'x', 'u', 'n', 'u', 's']	wakakunus	And as a shrine	Y como un santuario
156	157	ar.csv	وكسخم	/wakasaxam/	['w', 'a', 'k', 'a', 's', 'a', 'x', 'a', 'm']	wakasakam	and Xakhim	y Xakhim
157	158	ar.csv	وكسمل	/wakasamal/	['w', 'a', 'k', 'a', 's', 'a', 'm', 'a', 'l']	wakasamal	xml	xml
158	159	ar.csv	وكشقق	/wakaʃuqaq/	['w', 'a', 'k', 'a', 'ʃ', 'u', 'q', 'a', 'q']	wakashuqaq	and as apartments	y como apartamentos
159	160	ar.csv	وكشلن	/wakaʃilin/	['w', 'a', 'k', 'a', 'ʃ', 'i', 'l', 'i', 'n']	wakashilin	And two cheats	y dos trampas
160	161	ar.csv	وكشمم	/wakaʃamam/	['w', 'a', 'k', 'a', 'ʃ', 'a', 'm', 'a', 'm']	wakashamam	and kashm	y kashm
161	162	ar.csv	وكشهل	/wakaʃahil/	['w', 'a', 'k', 'a', 'ʃ', 'a', 'h', 'i', 'l']	wakashahil	And Kashhal	y Kashhal
162	163	ar.csv	وكغسق	/wakaɣasaq/	['w', 'a', 'k', 'a', 'ɣ', 'a', 's', 'a', 'q']	wakakasaq	and as dusk	y como el atardecer
163	164	ar.csv	وكغلس	/wakaɣalas/	['w', 'a', 'k', 'a', 'ɣ', 'a', 'l', 'a', 's']	wakakalas	and muggles	y muggles
164	165	ar.csv	وكغلم	/wakaɣalim/	['w', 'a', 'k', 'a', 'ɣ', 'a', 'l', 'i', 'm']	wakakalim	And as a glam	Y como un glamour
165	166	ar.csv	وكغمش	/wakaɣamaʃ/	['w', 'a', 'k', 'a', 'ɣ', 'a', 'm', 'a', 'ʃ']	wakakamash	And Kgmsh	y kgmsh
166	167	ar.csv	وكقسس	/wakaqusus/	['w', 'a', 'k', 'a', 'q', 'u', 's', 'u', 's']	wakaqusus	And as pastors	Y como pastores
167	168	ar.csv	وكقلل	/wakaqulal/	['w', 'a', 'k', 'a', 'q', 'u', 'l', 'a', 'l']	wakaqulal	And as less	y como menos
168	169	ar.csv	وكقلم	/wakaqalam/	['w', 'a', 'k', 'a', 'q', 'a', 'l', 'a', 'm']	wakaqalam	And as a pen	Y como una pluma
169	170	ar.csv	وكقمم	/wakaqimam/	['w', 'a', 'k', 'a', 'q', 'i', 'm', 'a', 'm']	wakaqimam	and as tops	y como tapas
170	171	ar.csv	وكقمن	/wakaqamin/	['w', 'a', 'k', 'a', 'q', 'a', 'm', 'i', 'n']	wakaqamin	And as a couple	y como pareja
171	172	ar.csv	وكقنم	/wakaqanam/	['w', 'a', 'k', 'a', 'q', 'a', 'n', 'a', 'm']	wakaqanam	And as a sheep	Y como una oveja
172	173	ar.csv	وكقنن	/wakaqunan/	['w', 'a', 'k', 'a', 'q', 'u', 'n', 'a', 'n']	wakaqunan	And codified	y codificado
173	174	ar.csv	وككتن	/wakakatan/	['w', 'a', 'k', 'a', 'k', 'a', 't', 'a', 'n']	wakakatan	and cctn	y cctn
174	175	ar.csv	وككثث	/wakakaθaθ/	['w', 'a', 'k', 'a', 'k', 'a', 'θ', 'a', 'θ']	wakakathath	And as much	y tanto
175	176	ar.csv	وككمش	/wakakamiʃ/	['w', 'a', 'k', 'a', 'k', 'a', 'm', 'i', 'ʃ']	wakakamish	And shrink	y encoger
176	177	ar.csv	وكلقس	/wakalaqis/	['w', 'a', 'k', 'a', 'l', 'a', 'q', 'i', 's']	wakalaqis	And Klqs	y klqs
177	178	ar.csv	وكلقم	/wakaluqam/	['w', 'a', 'k', 'a', 'l', 'u', 'q', 'a', 'm']	wakaluqam	And every word	Y cada palabra
178	179	ar.csv	وكمهق	/wakamahaq/	['w', 'a', 'k', 'a', 'm', 'a', 'h', 'a', 'q']	wakamahaq	and as an albino	y como un albino
179	180	ar.csv	وكنسم	/wakanasam/	['w', 'a', 'k', 'a', 'n', 'a', 's', 'a', 'm']	wakanasam	And as a breeze	Y como una brisa
180	181	ar.csv	وكنقم	/wakaniqam/	['w', 'a', 'k', 'a', 'n', 'i', 'q', 'a', 'm']	wakaniqam	And as a curse	Y como una maldición
181	182	ar.csv	وكهلل	/wakahalal/	['w', 'a', 'k', 'a', 'h', 'a', 'l', 'a', 'l']	wakahalal	And he crippled	y el lisiado
182	183	ar.csv	وكهمم	/wakahimam/	['w', 'a', 'k', 'a', 'h', 'i', 'm', 'a', 'm']	wakahimam	And as they are	y como son
183	184	ar.csv	وكهنم	/wakahanam/	['w', 'a', 'k', 'a', 'h', 'a', 'n', 'a', 'm']	wakahanam	As a priest	como sacerdote
184	185	ar.csv	ولتثق	/walitaθiq/	['w', 'a', 'l', 'i', 't', 'a', 'θ', 'i', 'q']	walitathiq	And to trust	y confiar
185	186	ar.csv	ولتخ	/walitax/	['w', 'a', 'l', 'i', 't', 'a', 'x']	walitak	and so on	etcétera
186	187	ar.csv	ولتسس	/walitasus/	['w', 'a', 'l', 'i', 't', 'a', 's', 'u', 's']	walitasus	And tots	y peques
187	188	ar.csv	ولتق	/walitaq/	['w', 'a', 'l', 'i', 't', 'a', 'q']	walitaq	And meet	y conocer
188	189	ar.csv	ولتقق	/walitaquq/	['w', 'a', 'l', 'i', 't', 'a', 'q', 'u', 'q']	walitaquq	And check	y comprobar
189	190	ar.csv	ولتكك	/walitikak/	['w', 'a', 'l', 'i', 't', 'i', 'k', 'a', 'k']	walitikak	And to tick	y marcar
190	191	ar.csv	ولتلث	/walitaluθ/	['w', 'a', 'l', 'i', 't', 'a', 'l', 'u', 'θ']	walitaluth	And to pollute	y contaminar
191	192	ar.csv	ولتمق	/walitamiq/	['w', 'a', 'l', 'i', 't', 'a', 'm', 'i', 'q']	walitamiq	And let&#39;s stop	y detengámonos
192	193	ar.csv	ولثخن	/waliθixan/	['w', 'a', 'l', 'i', 'θ', 'i', 'x', 'a', 'n']	walithikan	and to thicken	y espesar
193	194	ar.csv	ولثكن	/waliθukan/	['w', 'a', 'l', 'i', 'θ', 'u', 'k', 'a', 'n']	walithukan	And to barracks	y al cuartel
194	195	ar.csv	ولثلل	/waliθulal/	['w', 'a', 'l', 'i', 'θ', 'u', 'l', 'a', 'l']	walithulal	And for paralysis	Y para la parálisis
195	196	ar.csv	ولثنن	/waliθunan/	['w', 'a', 'l', 'i', 'θ', 'u', 'n', 'a', 'n']	walithunan	And for two	y por dos
196	197	ar.csv	ولخلل	/walixalal/	['w', 'a', 'l', 'i', 'x', 'a', 'l', 'a', 'l']	walikalal	And for a glitch	Y por un fallo
197	198	ar.csv	ولخنث	/walixaniθ/	['w', 'a', 'l', 'i', 'x', 'a', 'n', 'i', 'θ']	walikanith	And for effeminacy	Y por afeminamiento
198	199	ar.csv	ولخنس	/walixunus/	['w', 'a', 'l', 'i', 'x', 'u', 'n', 'u', 's']	walikunus	And to forget	y olvidar
199	200	ar.csv	ولسخم	/walisaxam/	['w', 'a', 'l', 'i', 's', 'a', 'x', 'a', 'm']	walisakam	And for the sakem	Y por el bien
200	201	ar.csv	ولسمل	/walisamal/	['w', 'a', 'l', 'i', 's', 'a', 'm', 'a', 'l']	walisamal	And for Smal	y para pequeño
201	202	ar.csv	ولشقق	/waliʃuqaq/	['w', 'a', 'l', 'i', 'ʃ', 'u', 'q', 'a', 'q']	walishuqaq	And for apartments	y para apartamentos
202	203	ar.csv	ولشلن	/waliʃilin/	['w', 'a', 'l', 'i', 'ʃ', 'i', 'l', 'i', 'n']	walishilin	And for a shilling	y por un chelín
203	204	ar.csv	ولشمم	/waliʃamam/	['w', 'a', 'l', 'i', 'ʃ', 'a', 'm', 'a', 'm']	walishamam	And to sniff	y oler
204	205	ar.csv	ولشهل	/waliʃahil/	['w', 'a', 'l', 'i', 'ʃ', 'a', 'h', 'i', 'l']	walishahil	And for Shahl	y para Shahl
