ordinal	fil	filename	word	tokenised	qichwa	english	spanish
21	ady	ady_cyrl_narrow.tsv	мэлэлэн	['m', 'a', 'l', 'a', 'l', 'a', 'n']	malalan		
22	ady	ady_cyrl_narrow.tsv	мэон	['m', 'a', 'w', 'a', 'n']	mawan		
23	ady	ady_cyrl_narrow.tsv	мэсэн	['m', 'a', 's', 'a', 'n']	masan		
24	ady	ady_cyrl_narrow.tsv	мэтэн	['m', 'a', 't', 'a', 'n']	matan		
25	ady	ady_cyrl_narrow.tsv	мэу	['m', 'a', 'w']	maw		
26	ady	ady_cyrl_narrow.tsv	мэуэн	['m', 'a', 'w', 'a', 'n']	mawan		
27	ady	ady_cyrl_narrow.tsv	нэпэ	['n', 'a', 'p', 'a']	napa		
28	ady	ady_cyrl_narrow.tsv	нэпэон	['n', 'a', 'p', 'a', 'w', 'a', 'n']	napawan		
29	ady	ady_cyrl_narrow.tsv	о	['w', 'a']	wa		
30	ady	ady_cyrl_narrow.tsv	он	['w', 'a', 'n']	wan		
31	ady	ady_cyrl_narrow.tsv	ос	['w', 'a', 's']	was		
32	ady	ady_cyrl_narrow.tsv	пэ	['p', 'a']	pa		
33	ady	ady_cyrl_narrow.tsv	пэмэн	['p', 'a', 'm', 'a', 'n']	paman		
34	ady	ady_cyrl_narrow.tsv	сэ	['s', 'a']	sa		
35	ady	ady_cyrl_narrow.tsv	тэ	['t', 'a']	ta		
36	ady	ady_cyrl_narrow.tsv	тэнэн	['t', 'a', 'n', 'a', 'n']	tanan		
37	ady	ady_cyrl_narrow.tsv	хэнэн	['x', 'a', 'n', 'a', 'n']	kanan		
38	ady	ady_cyrl_narrow.tsv	хэон	['x', 'a', 'w', 'a', 'n']	kawan		
39	ady	ady_cyrl_narrow.tsv	хэсэн	['x', 'a', 's', 'a', 'n']	kasan		
40	ady	ady_cyrl_narrow.tsv	шэн	['ʃ', 'a', 'n']	shan		
41	ady	ady_cyrl_narrow.tsv	шэны	['ʃ', 'a', 'n']	shan		
42	ady	ady_cyrl_narrow.tsv	шэшэн	['ʃ', 'a', 'ʃ', 'a', 'n']	shashan		
43	ady	ady_cyrl_narrow.tsv	шӏэн	['ʃ', 'a', 'n']	shan		
1	afb	afb_arab_broad.tsv	اهم	['ʊ', 'h', 'ʊ', 'm']	uhum		
2	afb	afb_arab_broad.tsv	اهو	['ʊ', 'h', 'ʊ']	uhu		
3	afb	afb_arab_broad.tsv	اهي	['ɪ', 'h', 'i']	ihi		
4	afb	afb_arab_broad.tsv	سمي	['s', 'ɪ', 'm', 'i']	simi		
5	afb	afb_arab_broad.tsv	شال	['ʃ', 'ɑ', 'l']	shal		
6	afb	afb_arab_broad.tsv	ماي	['m', 'ɑ', 'j']	may		
7	afb	afb_arab_broad.tsv	منو	['m', 'ɪ', 'n', 'u']	minu		
1	afr	afr_latn_broad.tsv	al	['a', 'l']	al	already	ya
2	afr	afr_latn_broad.tsv	an	['a', 'n']	an	an	un
3	afr	afr_latn_broad.tsv	as	['a', 's']	as	as	como
4	afr	afr_latn_broad.tsv	jas	['j', 'a', 's']	yas	coat	abrigo
5	afr	afr_latn_broad.tsv	joel	['j', 'u', 'l']	yul	joel	joel
6	afr	afr_latn_broad.tsv	kak	['k', 'a', 'k']	kak	shit	mierda
7	afr	afr_latn_broad.tsv	kan	['k', 'a', 'n']	kan	can	poder
8	afr	afr_latn_broad.tsv	kas	['k', 'a', 's']	kas	cupboard	armario
9	afr	afr_latn_broad.tsv	kiek	['k', 'i', 'k']	kik	peek	ojeada
10	afr	afr_latn_broad.tsv	kiesa	['k', 'i', 's', 'a']	kisa	choose	elegir
11	afr	afr_latn_broad.tsv	koek	['k', 'u', 'k']	kuk	cake	pastel
12	afr	afr_latn_broad.tsv	lam	['l', 'a', 'm']	lam	lamb	cordero
13	afr	afr_latn_broad.tsv	lap	['l', 'a', 'p']	lap	rag	trapo
14	afr	afr_latn_broad.tsv	liedjie	['l', 'i', 'k', 'i']	liki	song	canción
15	afr	afr_latn_broad.tsv	malan	['m', 'a', 'l', 'a', 'n']	malan	malan	malan
16	afr	afr_latn_broad.tsv	man	['m', 'a', 'n']	man	man	hombre
17	afr	afr_latn_broad.tsv	mas	['m', 'a', 's']	mas	mast	mástil
18	afr	afr_latn_broad.tsv	massa	['m', 'a', 's', 'a']	masa	mass	masa
19	afr	afr_latn_broad.tsv	mielie	['m', 'i', 'l', 'i']	mili	corn	maíz
20	afr	afr_latn_broad.tsv	moes	['m', 'u', 's']	mus	had to	tuve que
21	afr	afr_latn_broad.tsv	nie	['n', 'i']	ni	not	no
22	afr	afr_latn_broad.tsv	oek	['u', 'k']	uk	ouch	Ay
23	afr	afr_latn_broad.tsv	oes	['u', 's']	us	harvest	cosecha
24	afr	afr_latn_broad.tsv	pan	['p', 'a', 'n']	pan	pan	cacerola
25	afr	afr_latn_broad.tsv	pap	['p', 'a', 'p']	pap	porridge	papilla
26	afr	afr_latn_broad.tsv	piek	['p', 'i', 'k']	pik	peak	cima
27	afr	afr_latn_broad.tsv	poes	['p', 'u', 's']	pus	bitch	perra
28	afr	afr_latn_broad.tsv	sal	['s', 'a', 'l']	sal	shall	deberá
29	afr	afr_latn_broad.tsv	siek	['s', 'i', 'k']	sik	sick	enfermo
30	afr	afr_latn_broad.tsv	sien	['s', 'i', 'n']	sin	see	ver
31	afr	afr_latn_broad.tsv	soe	['s', 'u']	su	would	haría
32	afr	afr_latn_broad.tsv	soen	['s', 'u', 'n']	sun	kiss	beso
33	afr	afr_latn_broad.tsv	tiekie	['t', 'i', 'k', 'i']	tiki	little girl	niñita
34	afr	afr_latn_broad.tsv	toeka	['t', 'u', 'k', 'a']	tuka	time	tiempo
1	ajp	ajp_arab_broad.tsv	تمن	['t', 'a', 'm', 'a', 'n']	taman		
2	ajp	ajp_arab_broad.tsv	تنى	['t', 'a', 'n', 'a']	tana		
3	ajp	ajp_arab_broad.tsv	خس	['x', 'a', 's']	kas		
4	ajp	ajp_arab_broad.tsv	خش	['x', 'a', 'ʃ']	kash		
5	ajp	ajp_arab_broad.tsv	سخن	['s', 'a', 'x', 'a', 'n']	sakan		
6	ajp	ajp_arab_broad.tsv	سكن	['s', 'a', 'k', 'a', 'n']	sakan		
7	ajp	ajp_arab_broad.tsv	سلخ	['s', 'a', 'l', 'a', 'x']	salak		
8	ajp	ajp_arab_broad.tsv	سلك	['s', 'a', 'l', 'a', 'k']	salak		
9	ajp	ajp_arab_broad.tsv	سلم	['s', 'i', 'l', 'i', 'm']	silim		
10	ajp	ajp_arab_broad.tsv	شغل	['ʃ', 'a', 'ɣ', 'a', 'l']	shakal		
11	ajp	ajp_arab_broad.tsv	شكى	['ʃ', 'a', 'k', 'a']	shaka		
12	ajp	ajp_arab_broad.tsv	غسل	['ɣ', 'a', 's', 'a', 'l']	kasal		
13	ajp	ajp_arab_broad.tsv	غلى	['ɣ', 'a', 'l', 'a']	kala		
14	ajp	ajp_arab_broad.tsv	غلي	['ɣ', 'i', 'l', 'i']	kili		
15	ajp	ajp_arab_broad.tsv	غمي	['ɣ', 'i', 'm', 'i']	kimi		
16	ajp	ajp_arab_broad.tsv	كوى	['k', 'a', 'w', 'a']	kawa		
17	ajp	ajp_arab_broad.tsv	لخم	['l', 'a', 'x', 'a', 'm']	lakam		
18	ajp	ajp_arab_broad.tsv	لغى	['l', 'a', 'ɣ', 'a']	laka		
19	ajp	ajp_arab_broad.tsv	لمس	['l', 'a', 'm', 'a', 's']	lamas		
20	ajp	ajp_arab_broad.tsv	مسا	['m', 'a', 's', 'a']	masa		
21	ajp	ajp_arab_broad.tsv	مسك	['m', 'a', 's', 'a', 'k']	masak		
22	ajp	ajp_arab_broad.tsv	مسك	['m', 'i', 's', 'i', 'k']	misik		
23	ajp	ajp_arab_broad.tsv	مش	['m', 'i', 'ʃ']	mish		
24	ajp	ajp_arab_broad.tsv	مش	['m', 'u', 'ʃ']	mush		
25	ajp	ajp_arab_broad.tsv	مشى	['m', 'a', 'ʃ', 'a']	masha		
26	ajp	ajp_arab_broad.tsv	ملك	['m', 'a', 'l', 'a', 'k']	malak		
27	ajp	ajp_arab_broad.tsv	نسي	['n', 'i', 's', 'i']	nisi		
28	ajp	ajp_arab_broad.tsv	وسخ	['w', 'i', 's', 'i', 'x']	wisik		
29	ajp	ajp_arab_broad.tsv	ولو	['w', 'a', 'l', 'a', 'w']	walaw		
1	akk	akk_latn_broad.tsv	akalum	['a', 'k', 'a', 'l', 'u', 'm']	akalum		
2	akk	akk_latn_broad.tsv	ana	['a', 'n', 'a']	ana		
3	akk	akk_latn_broad.tsv	asum	['a', 's', 'u', 'm']	asum		
4	akk	akk_latn_broad.tsv	ilu	['i', 'l', 'u']	ilu		
5	akk	akk_latn_broad.tsv	ilum	['i', 'l', 'u', 'm']	ilum		
6	akk	akk_latn_broad.tsv	in	['i', 'n']	in		
7	akk	akk_latn_broad.tsv	ina	['i', 'n', 'a']	ina		
8	akk	akk_latn_broad.tsv	mutum	['m', 'u', 't', 'u', 'm']	mutum		
9	akk	akk_latn_broad.tsv	ul	['u', 'l']	ul		
10	akk	akk_latn_broad.tsv	ša	['ʃ', 'a']	sha		
11	akk	akk_latn_broad.tsv	šamaš	['ʃ', 'a', 'm', 'a', 'ʃ']	shamash		
12	akk	akk_latn_broad.tsv	šumum	['ʃ', 'u', 'm', 'u', 'm']	shumum		
1	ale	ale_latn_broad.tsv	agul	['a', 'ɣ', 'u', 'l']	akul		
2	ale	ale_latn_broad.tsv	ayul	['a', 'j', 'u', 'l']	ayul		
3	ale	ale_latn_broad.tsv	gul	['ɣ', 'u', 'l']	kul		
4	ale	ale_latn_broad.tsv	halal	['h', 'a', 'l', 'a', 'l']	halal		
5	ale	ale_latn_broad.tsv	hilal	['h', 'i', 'l', 'a', 'l']	hilal		
6	ale	ale_latn_broad.tsv	hinus	['h', 'i', 'n', 'u', 's']	hinus		
7	ale	ale_latn_broad.tsv	kigil	['k', 'i', 'ɣ', 'i', 'l']	kikil		
8	ale	ale_latn_broad.tsv	lal	['l', 'a', 'l']	lal		
9	ale	ale_latn_broad.tsv	lil	['l', 'i', 'l']	lil		
10	ale	ale_latn_broad.tsv	lul	['l', 'u', 'l']	lul		
11	ale	ale_latn_broad.tsv	mal	['m', 'a', 'l']	mal		
12	ale	ale_latn_broad.tsv	qanul	['q', 'a', 'n', 'u', 'l']	qanul		
13	ale	ale_latn_broad.tsv	waya	['w', 'a', 'j', 'a']	waya		
14	ale	ale_latn_broad.tsv	yas	['j', 'a', 's']	yas		
1	amh	amh_ethi_broad.tsv	ላም	['l', 'a', 'm']	lam	Cow	Vaca
2	amh	amh_ethi_broad.tsv	ሐኪም	['h', 'a', 'k', 'i', 'm']	hakim	Doctor	Doctor
3	amh	amh_ethi_broad.tsv	ማን	['m', 'a', 'n']	man	who	OMS
4	amh	amh_ethi_broad.tsv	ራስ	['ɾ', 'a', 's']	ras	Head	Cabeza
5	amh	amh_ethi_broad.tsv	ሲኒማ	['s', 'i', 'n', 'i', 'm', 'a']	sinima	Cinema	Cine
6	amh	amh_ethi_broad.tsv	ሳሙና	['s', 'a', 'm', 'u', 'n', 'a']	samuna	Soap	Jabón
7	amh	amh_ethi_broad.tsv	ሻይ	['ʃ', 'a', 'j']	shay	Tea	Té
8	amh	amh_ethi_broad.tsv	ዋና	['w', 'a', 'n', 'a']	wana	Main	Principal
9	amh	amh_ethi_broad.tsv	ያ	['j', 'a']	ya	That	Eso
1	ang	ang_latn_broad.tsv	ac	['ɑ', 'k']	ak		
2	ang	ang_latn_broad.tsv	acan	['ɑ', 'k', 'ɑ', 'n']	akan		
3	ang	ang_latn_broad.tsv	ah	['ɑ', 'x']	ak		
4	ang	ang_latn_broad.tsv	alan	['ɑ', 'l', 'ɑ', 'n']	alan		
5	ang	ang_latn_broad.tsv	apa	['ɑ', 'p', 'ɑ']	apa		
6	ang	ang_latn_broad.tsv	cac	['k', 'ɑ', 'k']	kak		
7	ang	ang_latn_broad.tsv	calan	['k', 'ɑ', 'l', 'ɑ', 'n']	kalan		
8	ang	ang_latn_broad.tsv	calu	['k', 'ɑ', 'l', 'u']	kalu		
9	ang	ang_latn_broad.tsv	cuma	['k', 'u', 'm', 'ɑ']	kuma		
10	ang	ang_latn_broad.tsv	cuman	['k', 'u', 'm', 'ɑ', 'n']	kuman		
11	ang	ang_latn_broad.tsv	haca	['x', 'ɑ', 'k', 'ɑ']	kaka		
12	ang	ang_latn_broad.tsv	ham	['x', 'ɑ', 'm']	kam		
13	ang	ang_latn_broad.tsv	hana	['x', 'ɑ', 'n', 'ɑ']	kana		
14	ang	ang_latn_broad.tsv	hasu	['x', 'ɑ', 's', 'u']	kasu		
15	ang	ang_latn_broad.tsv	him	['h', 'i', 'm']	him		
16	ang	ang_latn_broad.tsv	hunig	['x', 'u', 'n', 'i', 'j']	kuniy		
17	ang	ang_latn_broad.tsv	husc	['x', 'u', 'ʃ']	kush		
18	ang	ang_latn_broad.tsv	igil	['i', 'j', 'i', 'l']	iyil		
19	ang	ang_latn_broad.tsv	ih	['i', 'x']	ik		
20	ang	ang_latn_broad.tsv	in	['i', 'n']	in		
21	ang	ang_latn_broad.tsv	lacu	['l', 'ɑ', 'k', 'u']	laku		
22	ang	ang_latn_broad.tsv	lama	['l', 'ɑ', 'm', 'ɑ']	lama		
23	ang	ang_latn_broad.tsv	lanu	['l', 'ɑ', 'n', 'u']	lanu		
24	ang	ang_latn_broad.tsv	laþu	['l', 'ɑ', 'θ', 'u']	lathu		
25	ang	ang_latn_broad.tsv	lim	['l', 'i', 'm']	lim		
26	ang	ang_latn_broad.tsv	liþ	['l', 'i', 'θ']	lith		
27	ang	ang_latn_broad.tsv	lucas	['l', 'u', 'k', 'ɑ', 's']	lukas		
28	ang	ang_latn_broad.tsv	macaþ	['m', 'ɑ', 'k', 'ɑ', 'θ']	makath		
29	ang	ang_latn_broad.tsv	man	['m', 'ɑ', 'n']	man		
30	ang	ang_latn_broad.tsv	manig	['m', 'ɑ', 'n', 'i', 'j']	maniy		
31	ang	ang_latn_broad.tsv	manu	['m', 'ɑ', 'n', 'u']	manu		
32	ang	ang_latn_broad.tsv	masc	['m', 'ɑ', 'ʃ']	mash		
33	ang	ang_latn_broad.tsv	maþa	['m', 'ɑ', 'θ', 'ɑ']	matha		
34	ang	ang_latn_broad.tsv	min	['m', 'i', 'n']	min		
35	ang	ang_latn_broad.tsv	mið	['m', 'i', 'θ']	mith		
36	ang	ang_latn_broad.tsv	munan	['m', 'u', 'n', 'ɑ', 'n']	munan		
37	ang	ang_latn_broad.tsv	munuc	['m', 'u', 'n', 'u', 'k']	munuk		
38	ang	ang_latn_broad.tsv	mæg	['m', 'æ', 'j']	may		
39	ang	ang_latn_broad.tsv	naca	['n', 'ɑ', 'k', 'ɑ']	naka		
40	ang	ang_latn_broad.tsv	nam	['n', 'ɑ', 'm']	nam		
41	ang	ang_latn_broad.tsv	nama	['n', 'ɑ', 'm', 'ɑ']	nama		
42	ang	ang_latn_broad.tsv	naman	['n', 'ɑ', 'm', 'ɑ', 'n']	naman		
43	ang	ang_latn_broad.tsv	nasu	['n', 'ɑ', 's', 'u']	nasu		
44	ang	ang_latn_broad.tsv	nic	['n', 'i', 'k']	nik		
45	ang	ang_latn_broad.tsv	niman	['n', 'i', 'm', 'ɑ', 'n']	niman		
46	ang	ang_latn_broad.tsv	nimaþ	['n', 'i', 'm', 'ɑ', 'θ']	nimath		
47	ang	ang_latn_broad.tsv	nis	['n', 'i', 's']	nis		
48	ang	ang_latn_broad.tsv	næs	['n', 'æ', 's']	nas		
49	ang	ang_latn_broad.tsv	paþas	['p', 'ɑ', 'θ', 'ɑ', 's']	pathas		
50	ang	ang_latn_broad.tsv	paþum	['p', 'ɑ', 'θ', 'u', 'm']	pathum		
51	ang	ang_latn_broad.tsv	pusa	['p', 'u', 's', 'ɑ']	pusa		
52	ang	ang_latn_broad.tsv	pæþ	['p', 'æ', 'θ']	path		
53	ang	ang_latn_broad.tsv	sacan	['s', 'ɑ', 'k', 'ɑ', 'n']	sakan		
54	ang	ang_latn_broad.tsv	sacaþ	['s', 'ɑ', 'k', 'ɑ', 'θ']	sakath		
55	ang	ang_latn_broad.tsv	sacu	['s', 'ɑ', 'k', 'u']	saku		
56	ang	ang_latn_broad.tsv	sacum	['s', 'ɑ', 'k', 'u', 'm']	sakum		
57	ang	ang_latn_broad.tsv	salig	['s', 'ɑ', 'l', 'i', 'j']	saliy		
58	ang	ang_latn_broad.tsv	salu	['s', 'ɑ', 'l', 'u']	salu		
59	ang	ang_latn_broad.tsv	scacan	['ʃ', 'ɑ', 'k', 'ɑ', 'n']	shakan		
60	ang	ang_latn_broad.tsv	scamu	['ʃ', 'ɑ', 'm', 'u']	shamu		
61	ang	ang_latn_broad.tsv	sceamu	['ʃ', 'ɑ', 'm', 'u']	shamu		
62	ang	ang_latn_broad.tsv	sceaþa	['ʃ', 'ɑ', 'θ', 'ɑ']	shatha		
63	ang	ang_latn_broad.tsv	scinu	['ʃ', 'i', 'n', 'u']	shinu		
64	ang	ang_latn_broad.tsv	scip	['ʃ', 'i', 'p']	ship		
65	ang	ang_latn_broad.tsv	sculan	['ʃ', 'u', 'l', 'ɑ', 'n']	shulan		
66	ang	ang_latn_broad.tsv	sinu	['s', 'i', 'n', 'u']	sinu		
67	ang	ang_latn_broad.tsv	sum	['s', 'u', 'm']	sum		
68	ang	ang_latn_broad.tsv	sunu	['s', 'u', 'n', 'u']	sunu		
69	ang	ang_latn_broad.tsv	sæl	['s', 'æ', 'l']	sal		
70	ang	ang_latn_broad.tsv	sæp	['s', 'æ', 'p']	sap		
71	ang	ang_latn_broad.tsv	sæpig	['s', 'æ', 'p', 'i', 'j']	sapiy		
72	ang	ang_latn_broad.tsv	tacan	['t', 'ɑ', 'k', 'ɑ', 'n']	takan		
73	ang	ang_latn_broad.tsv	talu	['t', 'ɑ', 'l', 'u']	talu		
74	ang	ang_latn_broad.tsv	tam	['t', 'ɑ', 'm']	tam		
75	ang	ang_latn_broad.tsv	til	['t', 'i', 'l']	til		
76	ang	ang_latn_broad.tsv	tin	['t', 'i', 'n']	tin		
77	ang	ang_latn_broad.tsv	up	['u', 'p']	up		
78	ang	ang_latn_broad.tsv	wacan	['w', 'ɑ', 'k', 'ɑ', 'n']	wakan		
79	ang	ang_latn_broad.tsv	wacu	['w', 'ɑ', 'k', 'u']	waku		
80	ang	ang_latn_broad.tsv	wan	['w', 'ɑ', 'n']	wan		
81	ang	ang_latn_broad.tsv	wicu	['w', 'i', 'k', 'u']	wiku		
82	ang	ang_latn_broad.tsv	wil	['w', 'i', 'l']	wil		
83	ang	ang_latn_broad.tsv	wita	['w', 'i', 't', 'ɑ']	wita		
84	ang	ang_latn_broad.tsv	witan	['w', 'i', 't', 'ɑ', 'n']	witan		
85	ang	ang_latn_broad.tsv	wituma	['w', 'i', 't', 'u', 'm', 'ɑ']	wituma		
86	ang	ang_latn_broad.tsv	wiþ	['w', 'i', 'θ']	with		
87	ang	ang_latn_broad.tsv	wucu	['w', 'u', 'k', 'u']	wuku		
88	ang	ang_latn_broad.tsv	wuna	['w', 'u', 'n', 'ɑ']	wuna		
89	ang	ang_latn_broad.tsv	wæg	['w', 'æ', 'j']	way		
90	ang	ang_latn_broad.tsv	wæl	['w', 'æ', 'l']	wal		
91	ang	ang_latn_broad.tsv	wæs	['w', 'æ', 's']	was		
92	ang	ang_latn_broad.tsv	æl	['æ', 'l']	al		
93	ang	ang_latn_broad.tsv	æsc	['æ', 'ʃ']	ash		
94	ang	ang_latn_broad.tsv	þis	['θ', 'i', 's']	this		
95	ang	ang_latn_broad.tsv	þissum	['θ', 'i', 's', 'u', 'm']	thisum		
96	ang	ang_latn_broad.tsv	þus	['θ', 'u', 's']	thus		
97	ang	ang_latn_broad.tsv	þæc	['θ', 'æ', 'k']	thak		
98	ang	ang_latn_broad.tsv	þæs	['θ', 'æ', 's']	thas		
1	aot	aot_latn_broad.tsv	awa	['a', 'w', 'a']	awa		
2	aot	aot_latn_broad.tsv	itihas	['i', 't', 'i', 'h', 'a', 's']	itihas		
3	aot	aot_latn_broad.tsv	kal	['k', 'a', 'l']	kal		
4	aot	aot_latn_broad.tsv	kala	['k', 'a', 'l', 'a']	kala		
5	aot	aot_latn_broad.tsv	kalai	['k', 'a', 'l', 'a', 'j']	kalay		
6	aot	aot_latn_broad.tsv	kana	['k', 'a', 'n', 'a']	kana		
7	aot	aot_latn_broad.tsv	khuli	['kʰ', 'u', 'l', 'i']	khuli		
8	aot	aot_latn_broad.tsv	kitap	['k', 'i', 't', 'a', 'p']	kitap		
9	aot	aot_latn_broad.tsv	kuli	['k', 'u', 'l', 'i']	kuli		
10	aot	aot_latn_broad.tsv	laha	['l', 'a', 'h', 'a']	laha		
11	aot	aot_latn_broad.tsv	mai	['m', 'a', 'j']	may		
12	aot	aot_latn_broad.tsv	ni	['n', 'i']	ni		
13	aot	aot_latn_broad.tsv	pan	['p', 'a', 'n']	pan		
14	aot	aot_latn_broad.tsv	pinak	['p', 'i', 'n', 'a', 'k']	pinak		
15	aot	aot_latn_broad.tsv	taia	['t', 'a', 'j', 'a']	taya		
16	aot	aot_latn_broad.tsv	tham	['tʰ', 'a', 'm']	tham		
17	aot	aot_latn_broad.tsv	tin	['t', 'i', 'n']	tin		
18	aot	aot_latn_broad.tsv	tu	['t', 'u']	tu		
19	aot	aot_latn_broad.tsv	wak	['w', 'a', 'k']	wak		
20	aot	aot_latn_broad.tsv	wan	['w', 'a', 'n']	wan		
1	apw	apw_latn_narrow.tsv	big	['p', 'ɪ', 'k']	pik		
2	apw	apw_latn_narrow.tsv	daha	['t', 'a', 'x', 'a']	taka		
3	apw	apw_latn_narrow.tsv	múh	['m', 'u', 'x']	muk		
4	apw	apw_latn_narrow.tsv	pish	['pʰ', 'ɪ', 'ʃ']	phish		
5	apw	apw_latn_narrow.tsv	shash	['ʃ', 'a', 'ʃ']	shash		
6	apw	apw_latn_narrow.tsv	sig	['s', 'ɪ', 'k']	sik		
7	apw	apw_latn_narrow.tsv	sis	['s', 'ɪ', 's']	sis		
1	ara	ara_arab_broad.tsv	اسم	['i', 's', 'i', 'm']	isim	name	nombre
2	ara	ara_arab_broad.tsv	تلم	['t', 'a', 'l', 'a', 'm']	talam	groove	ranura
3	ara	ara_arab_broad.tsv	ثقة	['θ', 'i', 'q', 'a']	thiqa	trust	confianza
